size_n,dijkstra_time_ms,bellman_ford_time_ms
200,0.0007983944375,0.0015053328125
680,0.008958363125,0.0169585875
1160,0.0257294375,0.047373334375
1640,0.0217054625,0.04022151875
2120,0.05823859375,0.10955830625
2600,0.114630909375,0.21212765625
3080,0.143551515625,0.26917625
3560,0.18528090625,0.3431825625
4040,0.2333980625,0.4229121875
4520,0.26649509375,0.471132125
5000,0.33506153125,0.6136403125
