dijkstra_time_ms,bellman_ford_time_ms,size_n
3.8581e-05,6.4663e-05,60
4.1999e-05,6.5832e-05,60
2.6881e-05,3.9884e-05,60
3.9377e-05,6.4885e-05,60
2.6075e-05,4.1095e-05,60
3.8458e-05,6.4599e-05,60
2.5953e-05,4.0985e-05,60
4.0162e-05,6.4787e-05,60
3.9368e-05,6.4731e-05,60
4.0467e-05,6.4899e-05,60
2.6181e-05,4.1314e-05,60
4.8291e-05,6.5076e-05,60
3.8736e-05,6.4791e-05,60
3.9981e-05,6.4674e-05,60
4.067e-05,6.4849e-05,60
4.0092e-05,6.479e-05,60
2.5213e-05,4.0589e-05,60
4.009e-05,6.5858e-05,60
3.9789e-05,6.4935e-05,60
3.8833e-05,6.4768e-05,60
2.6116e-05,4.054e-05,60
7.5213e-05,6.5063e-05,60
2.5489e-05,4.1029e-05,60
3.964e-05,6.4576e-05,60
3.9583e-05,6.4634e-05,60
3.9362e-05,6.4814e-05,60
2.5611e-05,3.9996e-05,60
5.5054e-05,6.5847e-05,60
2.7719e-05,4.5795e-05,60
3.8703e-05,6.4718e-05,60
5.2722e-05,8.7905e-05,70
5.2353e-05,8.7359e-05,70
5.2754e-05,8.769e-05,70
5.9374e-05,8.772e-05,70
3.3434e-05,5.4874e-05,70
5.2889e-05,9.5083e-05,70
5.199e-05,8.9023e-05,70
5.929e-05,8.8369e-05,70
5.2692e-05,8.7349e-05,70
5.2639e-05,8.7353e-05,70
5.2809e-05,8.7328e-05,70
3.3035e-05,5.3455e-05,70
5.1419e-05,8.7517e-05,70
5.2649e-05,8.7584e-05,70
5.1835e-05,8.737e-05,70
5.201e-05,8.7235e-05,70
5.411e-05,8.7333e-05,70
3.2804e-05,5.3423e-05,70
5.2909e-05,8.7294e-05,70
5.1939e-05,8.7463e-05,70
3.4516e-05,5.4515e-05,70
5.2787e-05,8.7311e-05,70
3.635e-05,5.3567e-05,70
5.2634e-05,8.7279e-05,70
5.2781e-05,8.7375e-05,70
5.2342e-05,8.7231e-05,70
3.4052e-05,5.8631e-05,70
3.4578e-05,5.3613e-05,70
5.2445e-05,8.7157e-05,70
3.3916e-05,5.4138e-05,70
5.1723e-05,8.7331e-05,70
5.2414e-05,9.2611e-05,70
4.1425e-05,7.049e-05,80
4.2546e-05,6.9738e-05,80
6.7157e-05,0.00011864,80
6.7636e-05,0.000114087,80
