size_n,dijkstra_time_ms_mean,dijkstra_time_ms_std,bellman_ford_time_ms_mean,bellman_ford_time_ms_std,reps
10,3.04703125e-06,3.833523578555863e-07,2.5966875e-06,4.0898009101146963e-07,32
20,6.6423125e-06,8.353295172228442e-07,7.89790625e-06,1.185730585951521e-06,32
30,1.150278125e-05,1.7183301438892462e-06,1.579646875e-05,3.356733791801703e-06,32
40,2.22060625e-05,1.5079950540654758e-05,2.75495625e-05,4.477765925502778e-06,32
50,2.6389e-05,4.1511726430612355e-06,4.54751875e-05,1.840247264200775e-05,32
60,3.732484375e-05,1.0017381638024775e-05,5.7810125e-05,1.1175680140795682e-05,32
70,4.83185625e-05,8.407192292679747e-06,7.96714375e-05,1.4625909409626251e-05,32
80,6.328109375e-05,1.2832356080820113e-05,0.0001052215625,1.8350766574481124e-05,32
90,7.27330625e-05,1.4573647424241255e-05,0.00012625496875,2.667746106088946e-05,32
100,9.140665625e-05,1.9871570898537083e-05,0.00015247096875000001,3.179780569717466e-05,32
110,0.00011841209375,1.774898440819815e-05,0.000198528875,3.1373368602755665e-05,32
120,0.00013261215625,2.3856997930520008e-05,0.00023695553125,4.703934479107913e-05,32
130,0.00016145365625,3.434400353283067e-05,0.00027108365625,5.3383019480454515e-05,32
140,0.00017424728125,4.119428393845618e-05,0.0003031789375,6.991655568423043e-05,32
150,0.00020844621875,3.684898490777457e-05,0.0003654323125,6.578990988529202e-05,32
160,0.00022670509375,4.583008317985536e-05,0.00039307325,7.817420586740872e-05,32
170,0.00024722778125,6.162086611171899e-05,0.00043637825,9.541109413643939e-05,32
180,0.00029120703125,5.547846889587233e-05,0.00051378665625,0.00010407701169645046,32
190,0.00030981996875,6.591016022467836e-05,0.00055333703125,0.00011054969657508234,32
200,0.0003787133125,7.628807073006136e-05,0.0006255258125,0.00011253770415382945,32
210,0.00037235190625,0.00010431322316476689,0.00060346875,0.00013634679441157575,32
220,0.00043162596875,9.846294090369875e-05,0.0007210485,0.00015023852674684514,32
230,0.00045714884375,0.00011505062308504389,0.00078545665625,0.00017931545829828947,32
240,0.0004984454375,0.00010449374148212703,0.000882614875,0.0001793194425666717,32
250,0.00053018875,0.00013003438669204005,0.00090792640625,0.0001996545884989341,32
260,0.00054746784375,0.0001332798837201036,0.00091643153125,0.00020084598221304807,32
270,0.00061443015625,0.00015346954147649896,0.00101997078125,0.00022055778697114368,32
280,0.00066083153125,0.00016269416358519602,0.00109690309375,0.00023872013384130373,32
290,0.000705873,0.00017227578331250595,0.0011674943125,0.00025305295929489214,32
300,0.00080736746875,0.00015046380552083456,0.001282249625,0.00025883512807344536,32
310,0.00084611353125,0.00017445842511881312,0.0013342709375,0.0002763072476809034,32
320,0.0008418866875,0.000190036744094964,0.0013448378125,0.00029285218293251605,32
330,0.00089173771875,0.00019945761920819708,0.001441495625,0.0003453331470744727,32
340,0.00093421425,0.00022199500586724918,0.0014924896875000001,0.00032181794012186047,32
350,0.00098036246875,0.00022507961787803893,0.0014459984375,0.0002126534173559964,32
360,0.00098729378125,0.0002781666021932421,0.0016661175,0.0003662510674813795,32
370,0.00113003875,0.00026966079599343416,0.0019070921874999999,0.0004025485051342755,32
380,0.001185507125,0.00026882853152076206,0.0018183375000000001,0.00038338293255568907,32
390,0.00108178878125,0.0002780098862994505,0.0017475253125,0.0002671651774649951,32
400,0.0011553977499999999,0.00030720992968032054,0.0019378578125,0.000422812254595157,32
410,0.001187492625,0.0003220188077327307,0.001937204375,0.0003020035504958665,32
420,0.0014271701875,0.000344561036163355,0.002178333125,0.0004131727463137959,32
430,0.00144429553125,0.0003215465971695417,0.00223804125,0.0004177865555276851,32
440,0.0016413030625,0.00033622322157050085,0.002457653125,0.0005150097825675104,32
450,0.0016522421875,0.00041523992556062074,0.0025020746875,0.0004673688724991774,32
460,0.001729058125,0.0004063527320447524,0.002689588125,0.0005632081773445183,32
470,0.0016237471875,0.000449437840447892,0.0024836028125,0.00032376686832729637,32
480,0.00168544,0.0005005397122794054,0.0026151403125,0.0003944337170590609,32
490,0.001813979375,0.0004747609745370394,0.002693280625,0.0003182343214513629,32
500,0.00203676125,0.0004846976643470004,0.0029684940625,0.0005203256046989914,32
510,0.0023565015625,0.00038977858393507664,0.0034909396875,0.00045669518218859864,32
520,0.0018686971875,0.0004919327806229881,0.003015816875,0.00046831479838243883,32
530,0.00241737375,0.00047588714812935165,0.003340418125,0.00040650705605374716,32
540,0.0027760171875,0.00019430757329287206,0.0034226725,0.00046284637869248795,32
550,0.002723100625,0.0003829883117499924,0.0032862021875,0.0002605785392129211,32
560,0.0024839184375,0.0006057912444022558,0.0034104415625,0.00020743167482193642,32
570,0.00279158375,0.00031395292759972397,0.0034906659375,0.00038251164070407203,32
580,0.0026620596875,0.0003495072051428659,0.0036975028125,0.000577913035749294,32
590,0.002425508125,0.00027430227747456706,0.0036560515625,6.100875675412174e-05,32
600,0.002312145,0.0003893974196836055,0.0039270228125,0.0005772535121765955,32
610,0.0023336834375000002,0.0003361074578502515,0.0039532175,0.00044119998993511996,32
620,0.0022711421875,0.00024703544464477125,0.00398794625,5.811834788547836e-05,32
630,0.0021468334375,0.00021948376879921808,0.0041350075,5.587731371048538e-05,32
640,0.0024081134375,0.0005946562387664058,0.0043216425,0.0002135208996503621,32
650,0.00226767875,0.0003787442240215519,0.004428200625,0.00011390152923516596,32
660,0.0025608915625,0.00062469766970266,0.0046475765625,0.0002704275151451097,32
670,0.002750261875,0.0007441535762799467,0.004787455625,0.0005557139734664402,32
680,0.002745611875,0.0006905491722238066,0.00500041875,0.0006027566238476251,32
690,0.00290854625,0.0007846714438928802,0.0051168440625,0.0005733555584117252,32
700,0.0028886281250000002,0.0007781211469520569,0.00520653,0.00040104511709251607,32
710,0.0031083546875,0.0008969752207801799,0.0054460015625,0.000642975297261243,32
720,0.0036152009375,0.0010136190068307203,0.00598645,0.0009620782188185117,32
730,0.0033641053125,0.0009875056334554008,0.006013544375,0.0009285946978901019,32
740,0.00300897875,0.0006468229183128004,0.0057540353125,0.0001863479013328359,32
750,0.0032906221875,0.0009491016249746862,0.005982714375,0.0006463523089806435,32
760,0.003591799375,0.0010562525127098441,0.0061329084375,0.00042929702324053415,32
770,0.0040124521875,0.001194541667533343,0.006488564375,0.0008639492499451919,32
780,0.0032637746875,0.0005731350733574088,0.0065087959375,0.0006120545073707661,32
790,0.0038944753125,0.001180414443865968,0.0066315434375,0.0002575274990608937,32
800,0.0042854965625,0.0013160674061114075,0.006756181875,0.00027202982426608016,32
810,0.0039905228125,0.0011738282739535263,0.006912950625,0.00038230207883408043,32
820,0.0034593603125,0.00019513473091502018,0.007045514375,0.00023714902064600506,32
